species_name	Complete_BUSCOs	Complete_&_single-copy	Complete_&_duplicated	Fragmented	Missing	Total
Porites_lobata	920	747	173	10	24	954
Porites_lutea	930	724	206	7	17	954
Priapulus_caudatus	872	669	203	37	45	954
Protopalythoa_variabilis	859	765	94	42	53	954
Pseudodiploria_strigosa	921	666	255	17	16	954
Pseudospongosorites_suberitoides	444	409	35	188	322	954
Ptychodera_flava	950	249	701	1	3	954
Regadrella_okinoseana	777	607	170	40	137	954
Resomia_ornicephala	888	821	67	17	49	954
Rhizophysa_filiformis	894	825	69	16	44	954
Rhodactis_indosinensis	925	747	178	5	24	954
Rossellidae_NIWA126310	673	524	149	74	207	954
Saccocalyx_tetractinus	372	340	32	192	390	954
Salpingoeca_infusionum	666	507	159	43	245	954
Sarcothelia_edmonsoni	899	680	219	10	45	954
Sarcotragus_fasciculatus	611	497	114	166	177	954
Scopalina_sp	805	700	105	58	91	954
Seriatopora_hystrix	671	610	61	155	128	954
Siderastrea_siderea	928	712	216	6	20	954
Sinularia_cruciata	807	737	70	74	73	954
Spongia_officinalis	888	422	466	20	46	954
Spongilla_lacustris	865	667	198	23	66	954
Stephalia_dilata	875	806	69	18	61	954
Stephalia_sp	792	759	33	71	91	954
Stichodactyla_haddoni	800	679	121	91	63	954
Stichodactyla_helianthus	857	786	71	53	44	954
Stomolophus_meleagris	793	754	39	71	90	954
Strongylocentrotus_purpuratus	929	748	181	4	21	954
Sycon_ciliatum	816	688	128	40	98	954
Sycon_coactum	332	303	29	218	404	954
Symsagittifera_roscoffensis	791	700	91	16	147	954
Tedania_anhelans	829	622	207	43	82	954
Tethya_wilhelma	859	561	298	12	83	954
Thalassocalyce_inconstans	786	711	75	23	145	954
Trichoplax_adherens	893	719	174	5	56	954
Tripedalia_cystophora	908	735	173	12	34	954
Trychella_NIWA126306	725	623	102	55	174	954
Tubastraea_coccinea	945	289	656	6	3	954
Tubipora_musica	887	811	76	21	46	954
Tubulanus_polymorphus	866	834	32	44	44	954
Turritopsis_sp	745	682	63	51	158	954
Vaceletia_crypta	735	590	145	109	110	954
Velamen_paralellum	802	464	338	13	139	954
Walteria_leuckarti	635	395	240	152	167	954
Xenia_sp	881	791	90	26	47	954
Xenoturbella_bocki	868	659	209	15	71	954
Xestospongia_testudinaria	658	507	151	148	148	954
